image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
36979,group friends,six white males,A group of friends,Six white males,Independence,4
36979,group college students,group friends,A group of college students,A group of friends,Independence,4
36979,cards,green table,cards,a green table,Alternation,0
65567,wedding,wedding function,a wedding,a wedding function,Equivalence,3
134206,baseball team,players baseball team,a baseball team,The players of the baseball team,Entailment2,2
148284,newspapers,some newspapers,newspapers,some newspapers,Entailment2,2
148284,elderly african-american man,man,An elderly African-American man,A man,Entailment1,1
178045,mariachi dancers,number identically costumed women,Mariachi dancers,A number of identically costumed women,Independence,4
178045,mexican women,number identically costumed women,Mexican women,A number of identically costumed women,Independence,4
178045,mariachi dancers,mexican women,Mariachi dancers,Mexican women,Independence,4
256063,display outdoor flea market,farmers market,the display of an outdoor flea market,a farmers market,Independence,4
371902,black grill,grill,a black grill,a grill,Entailment1,1
490870,adults lap,man \'s lap,an adults lap,a man \'s lap,Entailment2,2
490870,blond children,two children,Blond children,Two children,Independence,4
726414,person,skydiver,A person,A skydiver,Entailment2,2
764507,2 couples,four people,2 couples,Four people,Entailment1,1
764507,2 couples,four adults,2 couples,Four adults,Independence,4
793558,dress,white long-sleeved shirt,a dress,a white long-sleeved shirt,Alternation,0
854749,candy aisle walmart,candy isle,a candy aisle of a Walmart,a candy isle,Entailment1,1
1243756,ice cream cooler,jerry \'s machine,an ice cream cooler,Jerry \'s machine,Independence,4
1243756,one person,unusually dressed man,One person,A very unusually dressed man,Entailment2,2
1254659,two employees,two workers,two employees,Two workers,Entailment1,1
1254659,two restaurant employees,two workers,Two restaurant employees,Two workers,Entailment1,1
1254659,mongolian barbecue stand,mongolian bbq restaurant,Mongolian Barbecue stand,a mongolian bbq restaurant,Entailment1,1
1283466,backhoe,yellow backhoe,A backhoe,A yellow backhoe,Entailment2,2
1317156,apartment buildings,two small apartment buildings,apartment buildings,two small apartment buildings,Entailment2,2
1920465,boy,brown-haired man,A boy,A brown-haired man,Alternation,0
1920465,dark polo shirt,dark shirt,a dark polo shirt,a dark shirt,Entailment1,1
1989609,blue jumpsuit,work uniform,a blue jumpsuit,a work uniform,Independence,4
2069887,likeness wizard,statue wizard,a likeness of a wizard,A statue of a wizard,Entailment2,2
2069887,"statue old , bearded beggar",stone statue wizard,"A statue of an old , bearded beggar",Stone statue of a wizard,Alternation,0
2069887,gnarled staff,ornate stick,a gnarled staff,an ornate stick,Independence,4
2148982,group friends,several young adults,A group of friends,Several young adults,Independence,4
2192573,computer screen,laptop screen,a computer screen,a laptop screen,Entailment2,2
2209317,leader,man,a leader,A man,Independence,4
2656351,crying infant,small baby,a crying infant,a very small baby,Entailment1,1
2689611,pink,white sweatshirt,pink,a white sweatshirt,Alternation,0
2760167,choir,nine men,a choir,Nine men,Independence,4
2868798,college girls,three women,College girls,Three women,Alternation,0
3012229,tree,trunk,a tree,the trunk,Entailment2,2
3025093,green work uniform,neon yellow reflective safety vest,a green work uniform,a neon yellow reflective safety vest,Alternation,0
3025093,green jacket,green work uniform,green jacket,a green work uniform,Independence,4
3035057,cockpit window,window british airways plane,the cockpit window,the window of a British Airways plane,Independence,4
3160699,house,open doorway,his house,an open doorway,Independence,4
3537322,computer monitors,computers,computer monitors,computers,Alternation,0
3734864,brick building,large commercial brick building,brick building,Large commercial brick building,Entailment2,2
3753939,cockpit \'s window,window ledge jet plane,the cockpit \'s window,the window ledge of a jet plane,Independence,4
3753939,adjacent window,cockpit \'s window,the adjacent window,the cockpit \'s window,Independence,4
3753939,cockpit \'s window,outside window,the cockpit \'s window,the outside window,Entailment1,1
3765589,parade men,people,A parade of men,People,Entailment1,1
3765589,men,parade men,men,A parade of men,Entailment2,2
3765589,festival,some kind celebration,A festival,Some kind of celebration,Entailment1,1
3996401,decorated room,room,a decorated room,a room,Entailment1,1
4183120,gym,stadium,the gym,a stadium,Independence,4
4199555,blue wheelbarrow,wheelbarrow,a blue wheelbarrow,a wheelbarrow,Entailment1,1
4307968,bunch other people,gathering,a bunch of other people,A gathering,Entailment1,1
4378823,costume,pink dress,a costume,a pink dress,Independence,4
4386588,peace,peace knits,a peace,Peace Knits,Independence,4
4413714,room asian students,several students,A room of Asian students,Several students,Entailment1,1
4489731,drinks,food,drinks,food,Alternation,0
4515460,flagger,man,a flagger,A man,Independence,4
4576671,punching bag,red punching bag,a punching bag,a red punching bag,Entailment2,2
4576671,fit girl,fit young woman,A fit girl,A fit young woman,Alternation,0
4576671,fit girl,woman,A fit girl,a woman,Alternation,0
4576671,athletic woman,fit girl,An athletic woman,A fit girl,Alternation,0
4749855,blanket,brown couch,blanket,a brown couch,Alternation,0
4749855,couch,red velveteen,a couch,a red velveteen,Independence,4
4749855,red velvet couch,red velveteen,a red velvet couch,a red velveteen,Alternation,0
4749855,plaided shirt,vertical striped shirt,a plaided shirt,a vertical striped shirt,Alternation,0
4906946,green safety vests,neon construction vests,green safety vests,neon construction vests,Independence,4
4926723,cup,looney tunes mug,a cup,his looney tunes mug,Entailment2,2
4926723,cup,hot cup coffee,a cup,a hot cup of coffee,Entailment2,2
4926723,green animaniacs,mug,A green Animaniacs,a mug,Alternation,0
4926723,pad paper,paper,a pad of paper,paper,Entailment1,1
4985704,captivated crowd,crowd,a captivated crowd,a crowd,Entailment1,1
5060753,hat,paper hat,a hat,a paper hat,Entailment2,2
5088155,flower arrangements,flowers,flower arrangements,flowers,Entailment1,1
5088155,native american workers,people,Native American workers,People,Entailment1,1
5104045,several friends,several people,Several friends,Several people,Entailment1,1
5230968,3 adult statues,bronze statue,3 adult statues,bronze statue,Alternation,0
5377361,box trivial pursuit,trivial pursuit game,a box of trivial pursuit,a trivial pursuit game,Equivalence,3
5402085,two men,two muddy men,Two men,two very muddy men,Entailment2,2
5402085,machine,some machinery,the machine,some machinery,Entailment1,1
5402085,powered auger,some machinery,a powered auger,some machinery,Entailment1,1
5444724,airline flight crew member,man,An airline flight crew member,A man,Independence,4
5444724,airplane,stationary airplane,an airplane,a stationary airplane,Entailment2,2
5566972,dirt,some dirt,dirt,some dirt,Equivalence,3
5570219,film camera,video camera,a film camera,a video camera,Alternation,0
5624522,barrel,burning bin,a barrel,a burning bin,Independence,4
5629300,"happy , smiley toddler",little boy,"Happy , smiley toddler",A little boy,Independence,4
5629300,child,"happy , smiley toddler",a child,"Happy , smiley toddler",Alternation,0
5629300,ball,large blue ball,a ball,a large blue ball,Entailment2,2
5629300,"pretty blue , white yellow blanket",rug,"a pretty blue , white and yellow blanket",a rug,Alternation,0
5629300,"happy , smiley toddler",small child,"Happy , smiley toddler",A small child,Alternation,0
5729814,doorway small plane,inside small plane,the doorway of a small plane,inside of a small plane,Independence,4
5771732,blond fat kid,young man,A blond fat kid,A young man,Alternation,0
5791070,hollywood wax museum,wax museum,the Hollywood Wax Museum,a wax museum,Entailment1,1
5791070,movie character,statue,a movie character,a statue,Independence,4
5791070,desk,ticket counter,the desk,a ticket counter,Independence,4
5791568,city workers,man,City workers,A man,Independence,4
5858851,bull,calf,a bull,a calf,Independence,4
5867606,craftsman,male,A craftsman,male,Entailment1,1
5867606,notes,small piece paper,notes,a small piece of paper,Alternation,0
5867606,office,workshop,office,the workshop,Alternation,0
5867606,graphics designer,male,Graphics Designer,male,Independence,4
5871970,basketball court floor,wooden gymnasium floor,a basketball court floor,a wooden gymnasium floor,Entailment1,1
5914327,construction work,dangerous construction work,construction work,dangerous construction work,Entailment2,2
5914327,three construction men,workers,Three construction men,Workers,Entailment1,1
5918840,guy,matador,this guy,A matador,Independence,4
5919020,bull,dead bull,a bull,A dead bull,Entailment2,2
5958182,overloaded wagon,wagon,An overloaded wagon,the wagon,Entailment1,1
6100315,passengers seat blue sanitation truck,sanitation truck,the passengers seat of a blue sanitation truck,a sanitation truck,Entailment1,1
6100315,blue sanitation truck,semi truck,a blue sanitation truck,a semi truck,Independence,4
6100315,sanitation truck,wheel blue truck,a sanitation truck,the wheel of a blue truck,Alternation,0
6214447,another man,first man,another man,the first man,Alternation,0
6398952,extended ladder,ladder,an extended ladder,his ladder,Entailment1,1
6398988,latino man,quiznos worker,Latino man,Quiznos worker,Independence,4
6398988,quiznos sign,quiznos sub sign,a Quiznos sign,a Quiznos Sub sign,Equivalence,3
6398988,man,quiznos worker,A man,Quiznos worker,Independence,4
6659698,gym floor,gymnasium floor,a gym floor,a gymnasium floor,Equivalence,3
6664030,plastic cups,samples,plastic cups,samples,Independence,4
6696219,group people,groups hikers,A group of people,A groups of hikers,Entailment2,2
6901333,light hearted discussion,story,a light hearted discussion,a story,Independence,4
6901479,beard,long brown beard,a beard,a long brown beard,Entailment2,2
7188003,adventurous skier,brave person,An adventurous skier,A very brave person,Independence,4
7300624,several people,students martial arts class,several people,The students of Martial Arts class,Independence,4
7340189,lid grill,top barbecue pit,the lid of a grill,the top of a barbecue pit,Entailment1,1
7340189,grill cover,top grill,a grill cover,the top of a grill,Entailment1,1
7510394,brown pipe,pipe,a brown pipe,a pipe,Entailment1,1
7520731,"piece dark blue , heavy equipment",placement large piece,"a piece of dark blue , heavy equipment",the placement of a large piece,Alternation,0
7520731,large piece suspended machinery,placement large piece,a large piece of suspended machinery,the placement of a large piece,Independence,4
7527111,fat police officer,police officer,a fat police officer,A police officer,Entailment1,1
7527111,criminal,lady,a criminal,A lady,Independence,4
7656601,3 men,fisherman,3 men,These fisherman,Independence,4
7656601,several men,two other men,Several men,two other men,Entailment2,2
7656601,fisherman,gentlemen,These fisherman,The gentlemen,Independence,4
7656601,multiple seagulls,seagulls,multiple seagulls,seagulls,Equivalence,3
7808046,dining table,dinner table,a dining table,a dinner table,Equivalence,3
8029536,soda machine,welchs vending machine,a soda machine,Welchs vending machine,Independence,4
8063007,employee,"hot , blond girl",an employee,"A hot , blond girl",Independence,4
8206921,red-haired lady,woman,A red-haired lady,A woman,Entailment1,1
8206921,apron,denim apron,an apron,a denim apron,Entailment2,2
8404753,one man,two men,one man,Two men,Alternation,0
8443156,ax,sword,an ax,a sword,Alternation,0
8454235,circular fabric dye pools,colored water,circular fabric dye pools,colored water,Entailment1,1
8664920,coffee,milk,coffee,milk,Alternation,0
8664922,blue white cup,cup coffee,a blue and white cup,a cup of coffee,Independence,4
8664922,blue white cup,cup brown liquid,a blue and white cup,a cup of brown liquid,Independence,4
8664922,blue white cup,cream,a blue and white cup,cream,Alternation,0
8664922,coffee,coffee beverage,a coffee,a coffee beverage,Equivalence,3
8664922,blue white cup,coffee type beverage,a blue and white cup,a coffee type beverage,Alternation,0
8664922,cream,white liquid,cream,a white liquid,Entailment1,1
8664922,cream,cup brown liquid,cream,a cup of brown liquid,Independence,4
8664922,coffee type beverage,cup brown liquid,a coffee type beverage,a cup of brown liquid,Independence,4
8664922,coffee beverage,cup coffee,a coffee beverage,a cup of coffee,Equivalence,3
8757787,man,street vendors,a man,Street vendors,Independence,4
8757787,men,street vendors,Men,Street vendors,Independence,4
8832804,cake,white cake,a cake,a white cake,Entailment2,2
8849890,two hombres,two young men,Two hombres,Two young men,Entailment2,2
8849890,two members spanish band,two men,Two members of a spanish band,Two men,Independence,4
8849890,silver trumpets,trumpets,their silver trumpets,their trumpets,Entailment1,1
8849890,two members spanish band,two young men,Two members of a spanish band,Two young men,Independence,4
8859482,3 drag queens,three people,3 drag queens,Three people,Entailment1,1
9950858,one police officer,three mounted police,One police officer,Three mounted police,Alternation,0
9950858,group people,troupe police officers,A group of people,a troupe of police officers,Entailment2,2
10002456,piece equipment,tall structure,a piece of equipment,a tall structure,Independence,4
10002456,giant pulley system,large rig,a giant pulley system,a large rig,Independence,4
